127.0.0.1 - - [16/Jun/2023:12:21:32 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/ HTTP/1.1" 200 16351
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/img/ma.png HTTP/1.1" 200 356321
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/img/tree.png HTTP/1.1" 200 106264
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/img/i.png HTTP/1.1" 200 302823
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/img/home.jpg HTTP/1.1" 200 32114
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/img/board.png HTTP/1.1" 200 227939
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/img/help.png HTTP/1.1" 200 56571
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/img/person.jpg HTTP/1.1" 200 64027
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:33 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:34 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:34 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:34 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:34 +0900] "GET /controller/resources/img/bg-header-top.png HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:34 +0900] "GET /controller/resources/img/bg-header-bottom.png HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:34 +0900] "GET /controller/resources/img/i.png HTTP/1.1" 200 302823
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:34 +0900] "GET /controller/resources/img/ma.png HTTP/1.1" 200 356321
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/loginPage.do HTTP/1.1" 200 14481
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/images/logo.png HTTP/1.1" 200 450272
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:35 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:36 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:36 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:36 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:36 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:36 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:36 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:36 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "POST /controller/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/ HTTP/1.1" 200 16507
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/img/person.jpg HTTP/1.1" 200 64027
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/img/tree.png HTTP/1.1" 200 106264
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/img/home.jpg HTTP/1.1" 200 32114
